Number of hit	Text ID	Context before	Query item	Context after	Tagged context before	Tagged query item	Tagged context after	URL	Matchbegin corpus position	Matchend corpus position
11	1	sıralama ve açıklamasını bir kez daha hatırlatalım . Çünkü Sn.A . Anakök’ün yanlışlıkla ele aldığı okuma - anlama konusunu biz	<<< bir ve ikinci >>>	tümce için söyledik , kendileri ise üçüncü tümcem için anlamış . a ) Birinci tümcem ; Ben eleştiri yapmadım idi	sıralama_Verb ve_Conj açıklamasını_Verb bir_Det kez_Noun daha_Adv hatırlatalım_Verb ._Punc Çünkü_Conj Sn.A_Undef ._Punc Anakök’ün_Undef yanlışlıkla_Adv ele_Noun aldığı_Verb okuma_Verb -_Punc anlama_Noun konusunu_Noun biz_Pron	<<< bir_Det ve_Conj ikinci_Adj >>>	tümce_Noun için_Postp söyledik_Verb ,_Punc kendileri_Pron ise_Verb üçüncü_Adj tümcem_Noun için_Postp anlamış_Verb ._Punc a_Interj )_Punc Birinci_Adj tümcem_Noun ;_Punc Ben_Pron eleştiri_Noun yapmadım_Verb idi_Verb	http://cqpweb.tscorpus.com/cqpweb/ts_corpus_ver_2/context.php?qname=gfrfkcw5df&batch=10&uT=y	20768406	20768408
12	1	memurini mülkiye nizamına tevfikan azimet ve avdet harcırahı ita kılınacaktır . Madde 77 - Heyeti Mebusan Riyasetine Heyet tarafından ekseriyetle	<<< üç ve ikinci >>>	ve üçüncü riyasetlere üçer nefes ki cem’an dokuz zat intihap olunarak huzuru şahaneye arzile bunlardan birisi riyasete ve ikisi reis	memurini_Noun mülkiye_Noun nizamına_Noun tevfikan_Adv azimet_Noun ve_Conj avdet_Noun harcırahı_Noun ita_Noun kılınacaktır_Verb ._Punc Madde_Noun 77_Num -_Punc Heyeti_Noun Mebusan_Undef Riyasetine_Noun Heyet_Noun tarafından_Noun ekseriyetle_Adv	<<< üç_Adj ve_Conj ikinci_Adj >>>	ve_Conj üçüncü_Adj riyasetlere_Noun üçer_Adj nefes_Noun ki_Conj cem’an_Undef dokuz_Adj zat_Noun intihap_Noun olunarak_Verb huzuru_Noun şahaneye_Adj arzile_Undef bunlardan_Pron birisi_Pron riyasete_Noun ve_Conj ikisi_Adj reis_Noun	http://cqpweb.tscorpus.com/cqpweb/ts_corpus_ver_2/context.php?qname=gfrfkcw5df&batch=11&uT=y	21702048	21702050
13	1	fıkrasına Ancak , sıkıyönetim ve savaş haline ilişkin hükümler saklıdır . cümlesi eklenmiş , ikinci fıkrası aşağıdaki şekilde değiştirilmiş ,	<<< üç ve dördüncü >>>	fıkraları birleştirilerek bir fıkra olarak yeniden düzenlenmiş ve son fıkrası yürürlükten kaldırılmıştır . Başkan , iki asıl ve bir yedek	fıkrasına_Noun Ancak_Conj ,_Punc sıkıyönetim_Noun ve_Conj savaş_Noun haline_Noun ilişkin_Postp hükümler_Noun saklıdır_Adj ._Punc cümlesi_Noun eklenmiş_Verb ,_Punc ikinci_Adj fıkrası_Noun aşağıdaki_Noun şekilde_Noun değiştirilmiş_Verb ,_Punc	<<< üç_Adj ve_Conj dördüncü_Adj >>>	fıkraları_Noun birleştirilerek_Verb bir_Det fıkra_Noun olarak_Verb yeniden_Adv düzenlenmiş_Verb ve_Conj son_Adj fıkrası_Noun yürürlükten_Noun kaldırılmıştır_Verb ._Punc Başkan_Noun ,_Punc iki_Adj asıl_Adj ve_Conj bir_Det yedek_Noun	http://cqpweb.tscorpus.com/cqpweb/ts_corpus_ver_2/context.php?qname=gfrfkcw5df&batch=12&uT=y	21941107	21941109
14	1	eder . MADDE 49 1 - Gebelik doğum ve bunlardan ileri gelen hastalık ve arızalarda yapılacak sağlık yardımları bu maddenin	<<< iki ve üçüncü >>>	paragraflarında yazılı yardımlardır . 2 - Sağlık yardımları en az şunlardır : a ) Doğumdan önce ve doğum esnasında ve	eder_Verb ._Punc MADDE_Noun 49_Num 1_Num -_Punc Gebelik_Noun doğum_Noun ve_Conj bunlardan_Pron ileri_Noun gelen_Verb hastalık_Noun ve_Conj arızalarda_Noun yapılacak_Verb sağlık_Noun yardımları_Noun bu_Det maddenin_Noun	<<< iki_Adj ve_Conj üçüncü_Adj >>>	paragraflarında_Noun yazılı_Noun yardımlardır_Noun ._Punc 2_Num -_Punc Sağlık_Noun yardımları_Noun en_Adv az_Adj şunlardır_Pron :_Punc a_Interj )_Punc Doğumdan_Noun önce_Postp ve_Conj doğum_Noun esnasında_Noun ve_Conj	http://cqpweb.tscorpus.com/cqpweb/ts_corpus_ver_2/context.php?qname=gfrfkcw5df&batch=13&uT=y	22644661	22644663
15	1	yatırılmıyan vergilerin , Tahsili emval kanununa tevfikan tahsiline tevessü edilmekle beraber vergi miktarına müddetin dolmasından itibaren birinci hafta için yüzde	<<< bir ve ikinci >>>	hafta için yüzde iki zammolunur . Talik tarihinden itibaren bir ay zarfında borçlarını ödemiyen mükellefler borçlarını tamamen ödeyinceye kadar memleketin	yatırılmıyan_Undef vergilerin_Noun ,_Punc Tahsili_Noun emval_Noun kanununa_Noun tevfikan_Adv tahsiline_Noun tevessü_Noun edilmekle_Verb beraber_Adj vergi_Noun miktarına_Noun müddetin_Noun dolmasından_Verb itibaren_Postp birinci_Adj hafta_Noun için_Postp yüzde_Adj	<<< bir_Det ve_Conj ikinci_Adj >>>	hafta_Noun için_Postp yüzde_Adj iki_Adj zammolunur_Undef ._Punc Talik_Adj tarihinden_Noun itibaren_Postp bir_Det ay_Noun zarfında_Noun borçlarını_Noun ödemiyen_Undef mükellefler_Adj borçlarını_Noun tamamen_Adv ödeyinceye_Verb kadar_Postp memleketin_Noun	http://cqpweb.tscorpus.com/cqpweb/ts_corpus_ver_2/context.php?qname=gfrfkcw5df&batch=14&uT=y	22937975	22937977
16	1	ile , siyasi partilerin kapatılmasını düzenleyen Siyasi Partilerin 101 inci maddesi yeniden düzenlenmiştir . Anayasanın 69 uncu maddesinin beş ,	<<< altı ve dokuzuncu >>>	fıkralarında belirtilen kapatılma halleri esas alınmak suretiyle 101 inci madde ele alınmaktadır . MADDE 17. - Bu madde ile Cumhuriyet	ile_Postp ,_Punc siyasi_Adj partilerin_Noun kapatılmasını_Verb düzenleyen_Verb Siyasi_Adj Partilerin_Noun 101_Num inci_Noun maddesi_Noun yeniden_Adv düzenlenmiştir_Verb ._Punc Anayasanın_Noun 69_Num uncu_Noun maddesinin_Noun beş_Adj ,_Punc	<<< altı_Adj ve_Conj dokuzuncu_Adj >>>	fıkralarında_Noun belirtilen_Verb kapatılma_Verb halleri_Noun esas_Noun alınmak_Verb suretiyle_Noun 101_Num inci_Noun madde_Noun ele_Noun alınmaktadır_Verb ._Punc MADDE_Noun 17._Num -_Punc Bu_Det madde_Noun ile_Postp Cumhuriyet_Noun	http://cqpweb.tscorpus.com/cqpweb/ts_corpus_ver_2/context.php?qname=gfrfkcw5df&batch=15&uT=y	23951316	23951318
17	1	, böyle bir şeyi savunmak bile hatadır diye düşünüyoruz . Onun için bunu geçiyorum ; ama , üzerinde durmak istediğim	<<< iki ve üçüncü >>>	noktaları bazı arkadaşların iyi dinlemelerini istiyorum . Bu tasarı paketiyle Millî Eğitim Bakanlığına tanınan yetkiler Bakanlığı ilgili kuruluş olmaktan çıkarıp	,_Punc böyle_Adj bir_Det şeyi_Noun savunmak_Verb bile_Adv hatadır_Noun diye_Postp düşünüyoruz_Verb ._Punc Onun_Pron için_Postp bunu_Pron geçiyorum_Verb ;_Punc ama_Conj ,_Punc üzerinde_Noun durmak_Verb istediğim_Verb	<<< iki_Adj ve_Conj üçüncü_Adj >>>	noktaları_Noun bazı_Adj arkadaşların_Noun iyi_Adj dinlemelerini_Verb istiyorum_Verb ._Punc Bu_Det tasarı_Noun paketiyle_Noun Millî_Adj Eğitim_Noun Bakanlığına_Noun tanınan_Verb yetkiler_Noun Bakanlığı_Noun ilgili_Noun kuruluş_Noun olmaktan_Verb çıkarıp_Verb	http://cqpweb.tscorpus.com/cqpweb/ts_corpus_ver_2/context.php?qname=gfrfkcw5df&batch=16&uT=y	24382600	24382602
18	1	bağlılığı belirledikten sonra Başlangıç bölümünde bulunan temel ilkelere de atıfta bulunmuştur . Anayasa'nın Başlangıç bölümünde yeralan ilkelerden biri de ,	<<< üç ve yedinci >>>	paragraflarda belirlenen , Atatürk inkılâp ve ilkelerine Bağlılık ilkesidir . Gerek 24 Ocak 1925 tarihli Bilumum Devlet Memurlarının Kıyafetleri Hakkında	bağlılığı_Noun belirledikten_Verb sonra_Postp Başlangıç_Noun bölümünde_Noun bulunan_Verb temel_Noun ilkelere_Noun de_Conj atıfta_Noun bulunmuştur_Verb ._Punc Anayasa'nın_Noun Başlangıç_Noun bölümünde_Noun yeralan_Undef ilkelerden_Noun biri_Pron de_Conj ,_Punc	<<< üç_Adj ve_Conj yedinci_Adj >>>	paragraflarda_Noun belirlenen_Verb ,_Punc Atatürk_Noun inkılâp_Noun ve_Conj ilkelerine_Noun Bağlılık_Noun ilkesidir_Noun ._Punc Gerek_Noun 24_Num Ocak_Noun 1925_Num tarihli_Noun Bilumum_Adj Devlet_Noun Memurlarının_Noun Kıyafetleri_Noun Hakkında_Noun	http://cqpweb.tscorpus.com/cqpweb/ts_corpus_ver_2/context.php?qname=gfrfkcw5df&batch=17&uT=y	24457445	24457447
19	1	. Buna göre , adli bir işlem nedeniyle yakalanan kişinin durumu istediği kanuni yakınına derhal bildirilecektir . Maddenin yedi ,	<<< sekiz ve dokuzuncu >>>	fıkraları bileştirilerek yedinci ve son fıkra olarak yeniden düzenlenmiştir . Burada , sanık ibaresi yerine suç şüphesi altında olanlar ibaresi	._Punc Buna_Pron göre_Postp ,_Punc adli_Adj bir_Det işlem_Noun nedeniyle_Noun yakalanan_Verb kişinin_Noun durumu_Noun istediği_Verb kanuni_Adj yakınına_Noun derhal_Adv bildirilecektir_Verb ._Punc Maddenin_Noun yedi_Adj ,_Punc	<<< sekiz_Adj ve_Conj dokuzuncu_Adj >>>	fıkraları_Noun bileştirilerek_Verb yedinci_Adj ve_Conj son_Adj fıkra_Noun olarak_Verb yeniden_Adv düzenlenmiştir_Verb ._Punc Burada_Noun ,_Punc sanık_Noun ibaresi_Noun yerine_Noun suç_Noun şüphesi_Noun altında_Noun olanlar_Verb ibaresi_Noun	http://cqpweb.tscorpus.com/cqpweb/ts_corpus_ver_2/context.php?qname=gfrfkcw5df&batch=18&uT=y	24698394	24698396
20	1	fıkranın ( a ) ve ( e ) bendleri ile ikinci fıkra metninin değiştirilmesi suretiyle , 12 nci maddesi ;	<<< iki ve üçüncü >>>	fıkra metinleri ; belirlenecek teknik kriterlerin niteliklerini arttırmaya yönelik olarak ; redaksiyonel düzenlemeye tâbi tutulmak suretiyle , 13,14,15 ve 16	fıkranın_Noun (_Punc a_Interj )_Punc ve_Conj (_Punc e_Interj )_Punc bendleri_Undef ile_Postp ikinci_Adj fıkra_Noun metninin_Noun değiştirilmesi_Verb suretiyle_Noun ,_Punc 12_Num nci_Undef maddesi_Noun ;_Punc	<<< iki_Adj ve_Conj üçüncü_Adj >>>	fıkra_Noun metinleri_Noun ;_Punc belirlenecek_Verb teknik_Adj kriterlerin_Noun niteliklerini_Noun arttırmaya_Verb yönelik_Postp olarak_Verb ;_Punc redaksiyonel_Undef düzenlemeye_Verb tâbi_Undef tutulmak_Verb suretiyle_Noun ,_Punc 13,14,15_Num ve_Conj 16_Num	http://cqpweb.tscorpus.com/cqpweb/ts_corpus_ver_2/context.php?qname=gfrfkcw5df&batch=19&uT=y	24832553	24832555
21	1	lira , c ) 12 nci maddesi hükümlerine aykırı hareket edenler hakkında onmilyar lira , d ) 13 üncü maddesinin	<<< beş ve yedinci >>>	fıkralarındaki yükümlülükleri yerine getirmeyen elektronik sertifika hizmet sağlayıcısına sekizmilyar lira , e ) 15 inci maddesi hükmüne aykırı hareket eden	lira_Noun ,_Punc c_Undef )_Punc 12_Num nci_Undef maddesi_Noun hükümlerine_Noun aykırı_Adj hareket_Noun edenler_Verb hakkında_Noun onmilyar_Undef lira_Noun ,_Punc d_Noun )_Punc 13_Num üncü_Noun maddesinin_Noun	<<< beş_Adj ve_Conj yedinci_Adj >>>	fıkralarındaki_Noun yükümlülükleri_Noun yerine_Noun getirmeyen_Verb elektronik_Adj sertifika_Noun hizmet_Noun sağlayıcısına_Verb sekizmilyar_Undef lira_Noun ,_Punc e_Interj )_Punc 15_Num inci_Noun maddesi_Noun hükmüne_Noun aykırı_Adj hareket_Noun eden_Verb	http://cqpweb.tscorpus.com/cqpweb/ts_corpus_ver_2/context.php?qname=gfrfkcw5df&batch=20&uT=y	24856227	24856229
22	1	tarafından çıkarılacak yönetmeliklerle düzenlenir . Kamu kurum ve kuruluşları hakkında uygulanmayacak hükümler MADDE 21. - Bu Kanunun 8 inci maddesinin	<<< dört ve beşinci >>>	fıkraları ile 15 ve 19 uncu maddesi hükümleri , elektronik sertifika hizmet sağlama faaliyeti yerine getiren kamu kurum ve kuruluşları	tarafından_Noun çıkarılacak_Verb yönetmeliklerle_Noun düzenlenir_Verb ._Punc Kamu_Noun kurum_Noun ve_Conj kuruluşları_Noun hakkında_Noun uygulanmayacak_Verb hükümler_Noun MADDE_Noun 21._Num -_Punc Bu_Det Kanunun_Noun 8_Num inci_Noun maddesinin_Noun	<<< dört_Adj ve_Conj beşinci_Adj >>>	fıkraları_Noun ile_Postp 15_Num ve_Conj 19_Num uncu_Noun maddesi_Noun hükümleri_Noun ,_Punc elektronik_Adj sertifika_Noun hizmet_Noun sağlama_Verb faaliyeti_Noun yerine_Noun getiren_Verb kamu_Noun kurum_Noun ve_Conj kuruluşları_Noun	http://cqpweb.tscorpus.com/cqpweb/ts_corpus_ver_2/context.php?qname=gfrfkcw5df&batch=21&uT=y	24856547	24856549
23	1	Kaldırılan Hükümler başlığı altındaki 29 uncu maddesi 2972 sayılı Mahalli İdareler ile Mahalle Muhtarlıkları ve İhtiyar Heyetleri Seçimi Hakkında Kanunun	<<< dört ve altıncı >>>	maddelerindeki değişikleri düzenlemektedir . Komisyonumuzda Tasarının 29 uncu maddesi üzerinde yapılan görüşmeler sırasında , değişik altıncı maddenin birinci fıkrasındaki belediye	Kaldırılan_Verb Hükümler_Noun başlığı_Noun altındaki_Noun 29_Num uncu_Noun maddesi_Noun 2972_Num sayılı_Adj Mahalli_Adj İdareler_Noun ile_Postp Mahalle_Noun Muhtarlıkları_Noun ve_Conj İhtiyar_Noun Heyetleri_Noun Seçimi_Noun Hakkında_Noun Kanunun_Noun	<<< dört_Adj ve_Conj altıncı_Adj >>>	maddelerindeki_Noun değişikleri_Adj düzenlemektedir_Verb ._Punc Komisyonumuzda_Noun Tasarının_Noun 29_Num uncu_Noun maddesi_Noun üzerinde_Noun yapılan_Verb görüşmeler_Noun sırasında_Noun ,_Punc değişik_Adj altıncı_Adj maddenin_Noun birinci_Adj fıkrasındaki_Noun belediye_Noun	http://cqpweb.tscorpus.com/cqpweb/ts_corpus_ver_2/context.php?qname=gfrfkcw5df&batch=22&uT=y	24963289	24963291
24	1	Başbakanlık tarafından yerine getirilmesi , görev ve çalışmalarına ilişkin esas ve usullerin belirleneceği yönetmeliğin Başbakanlıkça hazırlanarak yürürlüğe konulması uygun görülerek	<<< dokuz ve onuncu >>>	fıkralarda yer alan Adalet Bakanlığı ibareleri Başbakanlık olarak değiştirilmiştir . Tasarının 15 inci maddesinde düzenlenen ve yargı denetimi dışında kalan	Başbakanlık_Noun tarafından_Noun yerine_Noun getirilmesi_Verb ,_Punc görev_Noun ve_Conj çalışmalarına_Verb ilişkin_Postp esas_Noun ve_Conj usullerin_Noun belirleneceği_Verb yönetmeliğin_Noun Başbakanlıkça_Noun hazırlanarak_Verb yürürlüğe_Noun konulması_Verb uygun_Adj görülerek_Verb	<<< dokuz_Adj ve_Conj onuncu_Adj >>>	fıkralarda_Noun yer_Noun alan_Verb Adalet_Noun Bakanlığı_Noun ibareleri_Noun Başbakanlık_Noun olarak_Verb değiştirilmiştir_Verb ._Punc Tasarının_Noun 15_Num inci_Noun maddesinde_Noun düzenlenen_Verb ve_Conj yargı_Noun denetimi_Noun dışında_Noun kalan_Verb	http://cqpweb.tscorpus.com/cqpweb/ts_corpus_ver_2/context.php?qname=gfrfkcw5df&batch=23&uT=y	25072494	25072496
