Number of hit	Text ID	Context before	Query item	Context after	Tagged context before	Tagged query item	Tagged context after	URL	Matchbegin corpus position	Matchend corpus position
11	1	. Anakök’ün yanlışlıkla ele aldığı okuma - anlama konusunu biz	<<< bir ve ikinci >>>	tümce için söyledik , kendileri ise üçüncü tümcem için anlamış	._Punc Anakök’ün_Undef yanlışlıkla_Adv ele_Noun aldığı_Verb okuma_Verb -_Punc anlama_Noun konusunu_Noun biz_Pron	<<< bir_Det ve_Conj ikinci_Adj >>>	tümce_Noun için_Postp söyledik_Verb ,_Punc kendileri_Pron ise_Verb üçüncü_Adj tümcem_Noun için_Postp anlamış_Verb	http://cqpweb.tscorpus.com/cqpweb/ts_corpus_ver_2/context.php?qname=gfrdie14t5&batch=10&uT=y	20768406	20768408
12	1	. Madde 77 - Heyeti Mebusan Riyasetine Heyet tarafından ekseriyetle	<<< üç ve ikinci >>>	ve üçüncü riyasetlere üçer nefes ki cem’an dokuz zat intihap	._Punc Madde_Noun 77_Num -_Punc Heyeti_Noun Mebusan_Undef Riyasetine_Noun Heyet_Noun tarafından_Noun ekseriyetle_Adv	<<< üç_Adj ve_Conj ikinci_Adj >>>	ve_Conj üçüncü_Adj riyasetlere_Noun üçer_Adj nefes_Noun ki_Conj cem’an_Undef dokuz_Adj zat_Noun intihap_Noun	http://cqpweb.tscorpus.com/cqpweb/ts_corpus_ver_2/context.php?qname=gfrdie14t5&batch=11&uT=y	21702048	21702050
13	1	. cümlesi eklenmiş , ikinci fıkrası aşağıdaki şekilde değiştirilmiş ,	<<< üç ve dördüncü >>>	fıkraları birleştirilerek bir fıkra olarak yeniden düzenlenmiş ve son fıkrası	._Punc cümlesi_Noun eklenmiş_Verb ,_Punc ikinci_Adj fıkrası_Noun aşağıdaki_Noun şekilde_Noun değiştirilmiş_Verb ,_Punc	<<< üç_Adj ve_Conj dördüncü_Adj >>>	fıkraları_Noun birleştirilerek_Verb bir_Det fıkra_Noun olarak_Verb yeniden_Adv düzenlenmiş_Verb ve_Conj son_Adj fıkrası_Noun	http://cqpweb.tscorpus.com/cqpweb/ts_corpus_ver_2/context.php?qname=gfrdie14t5&batch=12&uT=y	21941107	21941109
14	1	ileri gelen hastalık ve arızalarda yapılacak sağlık yardımları bu maddenin	<<< iki ve üçüncü >>>	paragraflarında yazılı yardımlardır . 2 - Sağlık yardımları en az	ileri_Noun gelen_Verb hastalık_Noun ve_Conj arızalarda_Noun yapılacak_Verb sağlık_Noun yardımları_Noun bu_Det maddenin_Noun	<<< iki_Adj ve_Conj üçüncü_Adj >>>	paragraflarında_Noun yazılı_Noun yardımlardır_Noun ._Punc 2_Num -_Punc Sağlık_Noun yardımları_Noun en_Adv az_Adj	http://cqpweb.tscorpus.com/cqpweb/ts_corpus_ver_2/context.php?qname=gfrdie14t5&batch=13&uT=y	22644661	22644663
15	1	beraber vergi miktarına müddetin dolmasından itibaren birinci hafta için yüzde	<<< bir ve ikinci >>>	hafta için yüzde iki zammolunur . Talik tarihinden itibaren bir	beraber_Adj vergi_Noun miktarına_Noun müddetin_Noun dolmasından_Verb itibaren_Postp birinci_Adj hafta_Noun için_Postp yüzde_Adj	<<< bir_Det ve_Conj ikinci_Adj >>>	hafta_Noun için_Postp yüzde_Adj iki_Adj zammolunur_Undef ._Punc Talik_Adj tarihinden_Noun itibaren_Postp bir_Det	http://cqpweb.tscorpus.com/cqpweb/ts_corpus_ver_2/context.php?qname=gfrdie14t5&batch=14&uT=y	22937975	22937977
16	1	Onun için bunu geçiyorum ; ama , üzerinde durmak istediğim	<<< iki ve üçüncü >>>	noktaları bazı arkadaşların iyi dinlemelerini istiyorum . Bu tasarı paketiyle	Onun_Pron için_Postp bunu_Pron geçiyorum_Verb ;_Punc ama_Conj ,_Punc üzerinde_Noun durmak_Verb istediğim_Verb	<<< iki_Adj ve_Conj üçüncü_Adj >>>	noktaları_Noun bazı_Adj arkadaşların_Noun iyi_Adj dinlemelerini_Verb istiyorum_Verb ._Punc Bu_Det tasarı_Noun paketiyle_Noun	http://cqpweb.tscorpus.com/cqpweb/ts_corpus_ver_2/context.php?qname=gfrdie14t5&batch=15&uT=y	24382600	24382602
17	1	bulunmuştur . Anayasa'nın Başlangıç bölümünde yeralan ilkelerden biri de ,	<<< üç ve yedinci >>>	paragraflarda belirlenen , Atatürk inkılâp ve ilkelerine Bağlılık ilkesidir .	bulunmuştur_Verb ._Punc Anayasa'nın_Noun Başlangıç_Noun bölümünde_Noun yeralan_Undef ilkelerden_Noun biri_Pron de_Conj ,_Punc	<<< üç_Adj ve_Conj yedinci_Adj >>>	paragraflarda_Noun belirlenen_Verb ,_Punc Atatürk_Noun inkılâp_Noun ve_Conj ilkelerine_Noun Bağlılık_Noun ilkesidir_Noun ._Punc	http://cqpweb.tscorpus.com/cqpweb/ts_corpus_ver_2/context.php?qname=gfrdie14t5&batch=16&uT=y	24457445	24457447
18	1	ikinci fıkra metninin değiştirilmesi suretiyle , 12 nci maddesi ;	<<< iki ve üçüncü >>>	fıkra metinleri ; belirlenecek teknik kriterlerin niteliklerini arttırmaya yönelik olarak	ikinci_Adj fıkra_Noun metninin_Noun değiştirilmesi_Verb suretiyle_Noun ,_Punc 12_Num nci_Undef maddesi_Noun ;_Punc	<<< iki_Adj ve_Conj üçüncü_Adj >>>	fıkra_Noun metinleri_Noun ;_Punc belirlenecek_Verb teknik_Adj kriterlerin_Noun niteliklerini_Noun arttırmaya_Verb yönelik_Postp olarak_Verb	http://cqpweb.tscorpus.com/cqpweb/ts_corpus_ver_2/context.php?qname=gfrdie14t5&batch=17&uT=y	24832553	24832555
19	1	edenler hakkında onmilyar lira , d ) 13 üncü maddesinin	<<< beş ve yedinci >>>	fıkralarındaki yükümlülükleri yerine getirmeyen elektronik sertifika hizmet sağlayıcısına sekizmilyar lira	edenler_Verb hakkında_Noun onmilyar_Undef lira_Noun ,_Punc d_Noun )_Punc 13_Num üncü_Noun maddesinin_Noun	<<< beş_Adj ve_Conj yedinci_Adj >>>	fıkralarındaki_Noun yükümlülükleri_Noun yerine_Noun getirmeyen_Verb elektronik_Adj sertifika_Noun hizmet_Noun sağlayıcısına_Verb sekizmilyar_Undef lira_Noun	http://cqpweb.tscorpus.com/cqpweb/ts_corpus_ver_2/context.php?qname=gfrdie14t5&batch=18&uT=y	24856227	24856229
20	1	uygulanmayacak hükümler MADDE 21. - Bu Kanunun 8 inci maddesinin	<<< dört ve beşinci >>>	fıkraları ile 15 ve 19 uncu maddesi hükümleri , elektronik	uygulanmayacak_Verb hükümler_Noun MADDE_Noun 21._Num -_Punc Bu_Det Kanunun_Noun 8_Num inci_Noun maddesinin_Noun	<<< dört_Adj ve_Conj beşinci_Adj >>>	fıkraları_Noun ile_Postp 15_Num ve_Conj 19_Num uncu_Noun maddesi_Noun hükümleri_Noun ,_Punc elektronik_Adj	http://cqpweb.tscorpus.com/cqpweb/ts_corpus_ver_2/context.php?qname=gfrdie14t5&batch=19&uT=y	24856547	24856549
21	1	İdareler ile Mahalle Muhtarlıkları ve İhtiyar Heyetleri Seçimi Hakkında Kanunun	<<< dört ve altıncı >>>	maddelerindeki değişikleri düzenlemektedir . Komisyonumuzda Tasarının 29 uncu maddesi üzerinde	İdareler_Noun ile_Postp Mahalle_Noun Muhtarlıkları_Noun ve_Conj İhtiyar_Noun Heyetleri_Noun Seçimi_Noun Hakkında_Noun Kanunun_Noun	<<< dört_Adj ve_Conj altıncı_Adj >>>	maddelerindeki_Noun değişikleri_Adj düzenlemektedir_Verb ._Punc Komisyonumuzda_Noun Tasarının_Noun 29_Num uncu_Noun maddesi_Noun üzerinde_Noun	http://cqpweb.tscorpus.com/cqpweb/ts_corpus_ver_2/context.php?qname=gfrdie14t5&batch=20&uT=y	24963289	24963291
22	1	belirtilmektedir . Yürürlükteki üçüncü fıkrada yer alan bir kısım hükümler	<<< bir ve ikinci >>>	fıkralarda yeniden düzenlendiğinden üçüncü fıkra yürürlükten kaldırılmıştır . Maddenin (	belirtilmektedir_Verb ._Punc Yürürlükteki_Noun üçüncü_Adj fıkrada_Noun yer_Noun alan_Verb bir_Det kısım_Noun hükümler_Noun	<<< bir_Det ve_Conj ikinci_Adj >>>	fıkralarda_Noun yeniden_Adv düzenlendiğinden_Verb üçüncü_Adj fıkra_Noun yürürlükten_Noun kaldırılmıştır_Verb ._Punc Maddenin_Noun (_Punc	http://cqpweb.tscorpus.com/cqpweb/ts_corpus_ver_2/context.php?qname=gfrdie14t5&batch=21&uT=y	25131524	25131526
23	1	çıkarılması ve yapılan değişikliklerle birlikte ilgisi nedeniyle 24 üncü maddeye	<<< beş ve altıncı >>>	fıkralar olarak eklenmesi suretiyle , - 18 inci maddesi ,	çıkarılması_Verb ve_Conj yapılan_Verb değişikliklerle_Adj birlikte_Postp ilgisi_Noun nedeniyle_Noun 24_Num üncü_Noun maddeye_Noun	<<< beş_Adj ve_Conj altıncı_Adj >>>	fıkralar_Noun olarak_Verb eklenmesi_Verb suretiyle_Noun ,_Punc -_Punc 18_Num inci_Noun maddesi_Noun ,_Punc	http://cqpweb.tscorpus.com/cqpweb/ts_corpus_ver_2/context.php?qname=gfrdie14t5&batch=22&uT=y	25200415	25200417
24	1	oyla seçilir . İlk iki oylamada üye tam sayısının üçte	<<< iki ve üçüncü >>>	oylamada üye tam sayısının salt çoğunluğu aranır . Üçüncü oylamada	oyla_Pron seçilir_Verb ._Punc İlk_Adj iki_Adj oylamada_Verb üye_Noun tam_Adj sayısının_Noun üçte_Adj	<<< iki_Adj ve_Conj üçüncü_Adj >>>	oylamada_Verb üye_Noun tam_Adj sayısının_Noun salt_Adv çoğunluğu_Noun aranır_Verb ._Punc Üçüncü_Adj oylamada_Verb	http://cqpweb.tscorpus.com/cqpweb/ts_corpus_ver_2/context.php?qname=gfrdie14t5&batch=23&uT=y	25246031	25246033
25	1	stratejik plan ilişkisinin performans planı ile kurulmasının gerekçesiyle bir ,	<<< üç ve dördüncü >>>	fıkralarının yeniden düzenlenmesi suretiyle , - 45 inci maddesi ;	stratejik_Adj plan_Noun ilişkisinin_Noun performans_Noun planı_Noun ile_Postp kurulmasının_Verb gerekçesiyle_Noun bir_Det ,_Punc	<<< üç_Adj ve_Conj dördüncü_Adj >>>	fıkralarının_Noun yeniden_Adv düzenlenmesi_Verb suretiyle_Noun ,_Punc -_Punc 45_Num inci_Noun maddesi_Noun ;_Punc	http://cqpweb.tscorpus.com/cqpweb/ts_corpus_ver_2/context.php?qname=gfrdie14t5&batch=24&uT=y	25255229	25255231
26	1	. Ferrari SPA'ya odaklandı ! . . Monza'da ilk turlarda	<<< beş ve altıncı >>>	sıraya yükselmelerine rağmen , puan alamayan Michael Schumacher ve Rubens	._Punc Ferrari_Noun SPA'ya_Undef odaklandı_Verb !_Punc ._Punc ._Punc Monza'da_Undef ilk_Adj turlarda_Noun	<<< beş_Adj ve_Conj altıncı_Adj >>>	sıraya_Noun yükselmelerine_Verb rağmen_Postp ,_Punc puan_Noun alamayan_Verb Michael_Noun Schumacher_Noun ve_Conj Rubens_Noun	http://cqpweb.tscorpus.com/cqpweb/ts_corpus_ver_2/context.php?qname=gfrdie14t5&batch=25&uT=y	25735544	25735546
27	1	razılar dedi . İspanyol As Gazetesi'ne konuşan Alonso , Çin'de	<<< iki ve üçüncü >>>	sıraları alarak takımlar sıralamasında liderliği yeniden Renault'a getirdik , artık	razılar_Adj dedi_Verb ._Punc İspanyol_Adj As_Noun Gazetesi'ne_Noun konuşan_Verb Alonso_Undef ,_Punc Çin'de_Noun	<<< iki_Adj ve_Conj üçüncü_Adj >>>	sıraları_Noun alarak_Verb takımlar_Noun sıralamasında_Verb liderliği_Noun yeniden_Adv Renault'a_Noun getirdik_Verb ,_Punc artık_Adv	http://cqpweb.tscorpus.com/cqpweb/ts_corpus_ver_2/context.php?qname=gfrdie14t5&batch=26&uT=y	26159230	26159232
28	1	sırayı alan takımlar bir üst tura çıkmaya hak kazanırken ,	<<< dört ve beşinci >>>	sıralarda kalanlarsa Avrupa'ya bu sezon için veda ettiler . .	sırayı_Noun alan_Verb takımlar_Noun bir_Det üst_Noun tura_Noun çıkmaya_Verb hak_Noun kazanırken_Verb ,_Punc	<<< dört_Adj ve_Conj beşinci_Adj >>>	sıralarda_Noun kalanlarsa_Noun Avrupa'ya_Noun bu_Det sezon_Noun için_Postp veda_Noun ettiler_Verb ._Punc ._Punc	http://cqpweb.tscorpus.com/cqpweb/ts_corpus_ver_2/context.php?qname=gfrdie14t5&batch=27&uT=y	26252925	26252927
29	1	gizli oyla yapılır . İlk iki oylamada üye tamsayısının üçte	<<< iki ve üçüncü >>>	oylamada üye tamsayısının salt çoğunluğu aranır . Üçüncü oylamada salt	gizli_Adj oyla_Pron yapılır_Verb ._Punc İlk_Adj iki_Adj oylamada_Verb üye_Noun tamsayısının_Noun üçte_Adj	<<< iki_Adj ve_Conj üçüncü_Adj >>>	oylamada_Verb üye_Noun tamsayısının_Noun salt_Adv çoğunluğu_Noun aranır_Verb ._Punc Üçüncü_Adj oylamada_Verb salt_Adv	http://cqpweb.tscorpus.com/cqpweb/ts_corpus_ver_2/context.php?qname=gfrdie14t5&batch=28&uT=y	29726348	29726350
30	1	Büyükler Millî Takım kadrolarında yer alan sporcuların , Türkiye profesyonel	<<< bir ve ikinci >>>	futbol liginde yer alan takımların kadrolarında yer alan sporcuların ,	Büyükler_Adj Millî_Adj Takım_Noun kadrolarında_Noun yer_Noun alan_Verb sporcuların_Noun ,_Punc Türkiye_Noun profesyonel_Adj	<<< bir_Det ve_Conj ikinci_Adj >>>	futbol_Noun liginde_Noun yer_Noun alan_Verb takımların_Noun kadrolarında_Noun yer_Noun alan_Verb sporcuların_Noun ,_Punc	http://cqpweb.tscorpus.com/cqpweb/ts_corpus_ver_2/context.php?qname=gfrdie14t5&batch=29&uT=y	29770931	29770933
31	1	gizli oyla yapılır . İlk iki oylamada üye tamsayısının üçte	<<< iki ve üçüncü >>>	oylamada üye tamsayısının salt çoğunluğu aranır . Üçüncü oylamada salt	gizli_Adj oyla_Pron yapılır_Verb ._Punc İlk_Adj iki_Adj oylamada_Verb üye_Noun tamsayısının_Noun üçte_Adj	<<< iki_Adj ve_Conj üçüncü_Adj >>>	oylamada_Verb üye_Noun tamsayısının_Noun salt_Adv çoğunluğu_Noun aranır_Verb ._Punc Üçüncü_Adj oylamada_Verb salt_Adv	http://cqpweb.tscorpus.com/cqpweb/ts_corpus_ver_2/context.php?qname=gfrdie14t5&batch=30&uT=y	33235653	33235655
32	1	Bayram süresince hava sıcaklığının mevsim normallerinde seyredeceği , bir ,	<<< iki ve üçüncü >>>	gün Marmara ile yurdun iç ve doğu bölgelerinde yoğun sis	Bayram_Noun süresince_Noun hava_Noun sıcaklığının_Adj mevsim_Noun normallerinde_Adj seyredeceği_Verb ,_Punc bir_Det ,_Punc	<<< iki_Adj ve_Conj üçüncü_Adj >>>	gün_Noun Marmara_Noun ile_Postp yurdun_Noun iç_Noun ve_Conj doğu_Noun bölgelerinde_Noun yoğun_Adj sis_Noun	http://cqpweb.tscorpus.com/cqpweb/ts_corpus_ver_2/context.php?qname=gfrdie14t5&batch=31&uT=y	52425804	52425806
33	1	31.8.1956 tarihli ve 6831 sayılı Orman Kanununun 110 uncu maddesinin	<<< dört ve beşinci >>>	fıkralarında tanımlanan kasten orman yakma suçları . ( 4 )	31.8.1956_Num tarihli_Noun ve_Conj 6831_Num sayılı_Adj Orman_Noun Kanununun_Noun 110_Num uncu_Noun maddesinin_Noun	<<< dört_Adj ve_Conj beşinci_Adj >>>	fıkralarında_Noun tanımlanan_Verb kasten_Adv orman_Noun yakma_Verb suçları_Noun ._Punc (_Punc 4_Num )_Punc	http://cqpweb.tscorpus.com/cqpweb/ts_corpus_ver_2/context.php?qname=gfrdie14t5&batch=32&uT=y	53173115	53173117
34	1	uygulanmayacak hükümler MADDE 21. - Bu Kanunun 8 inci maddesinin	<<< dört ve beşinci >>>	fıkraları ile 15 ve 19 uncu maddesi hükümleri , elektronik	uygulanmayacak_Verb hükümler_Noun MADDE_Noun 21._Num -_Punc Bu_Det Kanunun_Noun 8_Num inci_Noun maddesinin_Noun	<<< dört_Adj ve_Conj beşinci_Adj >>>	fıkraları_Noun ile_Postp 15_Num ve_Conj 19_Num uncu_Noun maddesi_Noun hükümleri_Noun ,_Punc elektronik_Adj	http://cqpweb.tscorpus.com/cqpweb/ts_corpus_ver_2/context.php?qname=gfrdie14t5&batch=33&uT=y	53225080	53225082
35	1	edenler hakkında onmilyar lira , d ) 13 üncü maddesinin	<<< beş ve yedinci >>>	fıkralarındaki yükümlülükleri yerine getirmeyen elektronik sertifika hizmet sağlayıcısına sekizmilyar lira	edenler_Verb hakkında_Noun onmilyar_Undef lira_Noun ,_Punc d_Noun )_Punc 13_Num üncü_Noun maddesinin_Noun	<<< beş_Adj ve_Conj yedinci_Adj >>>	fıkralarındaki_Noun yükümlülükleri_Noun yerine_Noun getirmeyen_Verb elektronik_Adj sertifika_Noun hizmet_Noun sağlayıcısına_Verb sekizmilyar_Undef lira_Noun	http://cqpweb.tscorpus.com/cqpweb/ts_corpus_ver_2/context.php?qname=gfrdie14t5&batch=34&uT=y	53228734	53228736
36	1	Bayram süresince hava sıcaklığının mevsim normallerinde seyredeceği , bir ,	<<< iki ve üçüncü >>>	gün Marmara ile yurdun iç ve doğu bölgelerinde yoğun sis	Bayram_Noun süresince_Noun hava_Noun sıcaklığının_Adj mevsim_Noun normallerinde_Adj seyredeceği_Verb ,_Punc bir_Det ,_Punc	<<< iki_Adj ve_Conj üçüncü_Adj >>>	gün_Noun Marmara_Noun ile_Postp yurdun_Noun iç_Noun ve_Conj doğu_Noun bölgelerinde_Noun yoğun_Adj sis_Noun	http://cqpweb.tscorpus.com/cqpweb/ts_corpus_ver_2/context.php?qname=gfrdie14t5&batch=35&uT=y	53566895	53566897
37	1	31.8.1956 tarihli ve 6831 sayılı Orman Kanununun 110 uncu maddesinin	<<< dört ve beşinci >>>	fıkralarında tanımlanan kasten orman yakma suçları . ( 4 )	31.8.1956_Num tarihli_Noun ve_Conj 6831_Num sayılı_Adj Orman_Noun Kanununun_Noun 110_Num uncu_Noun maddesinin_Noun	<<< dört_Adj ve_Conj beşinci_Adj >>>	fıkralarında_Noun tanımlanan_Verb kasten_Adv orman_Noun yakma_Verb suçları_Noun ._Punc (_Punc 4_Num )_Punc	http://cqpweb.tscorpus.com/cqpweb/ts_corpus_ver_2/context.php?qname=gfrdie14t5&batch=36&uT=y	55973891	55973893
38	1	edenler hakkında onmilyar lira , d ) 13 üncü maddesinin	<<< beş ve yedinci >>>	fıkralarındaki yükümlülükleri yerine getirmeyen elektronik sertifika hizmet sağlayıcısına sekizmilyar lira	edenler_Verb hakkında_Noun onmilyar_Undef lira_Noun ,_Punc d_Noun )_Punc 13_Num üncü_Noun maddesinin_Noun	<<< beş_Adj ve_Conj yedinci_Adj >>>	fıkralarındaki_Noun yükümlülükleri_Noun yerine_Noun getirmeyen_Verb elektronik_Adj sertifika_Noun hizmet_Noun sağlayıcısına_Verb sekizmilyar_Undef lira_Noun	http://cqpweb.tscorpus.com/cqpweb/ts_corpus_ver_2/context.php?qname=gfrdie14t5&batch=37&uT=y	56014975	56014977
39	1	uygulanmayacak hükümler MADDE 21. - Bu Kanunun 8 inci maddesinin	<<< dört ve beşinci >>>	fıkraları ile 15 ve 19 uncu maddesi hükümleri , elektronik	uygulanmayacak_Verb hükümler_Noun MADDE_Noun 21._Num -_Punc Bu_Det Kanunun_Noun 8_Num inci_Noun maddesinin_Noun	<<< dört_Adj ve_Conj beşinci_Adj >>>	fıkraları_Noun ile_Postp 15_Num ve_Conj 19_Num uncu_Noun maddesi_Noun hükümleri_Noun ,_Punc elektronik_Adj	http://cqpweb.tscorpus.com/cqpweb/ts_corpus_ver_2/context.php?qname=gfrdie14t5&batch=38&uT=y	56020064	56020066
40	1	Bayram süresince hava sıcaklığının mevsim normallerinde seyredeceği , bir ,	<<< iki ve üçüncü >>>	gün Marmara ile yurdun iç ve doğu bölgelerinde yoğun sis	Bayram_Noun süresince_Noun hava_Noun sıcaklığının_Adj mevsim_Noun normallerinde_Adj seyredeceği_Verb ,_Punc bir_Det ,_Punc	<<< iki_Adj ve_Conj üçüncü_Adj >>>	gün_Noun Marmara_Noun ile_Postp yurdun_Noun iç_Noun ve_Conj doğu_Noun bölgelerinde_Noun yoğun_Adj sis_Noun	http://cqpweb.tscorpus.com/cqpweb/ts_corpus_ver_2/context.php?qname=gfrdie14t5&batch=39&uT=y	57736429	57736431
